"TIME"," 1-REF"
000:00:00.000,113.13
000:00:00.025,90.38
000:00:00.050,59.31
000:00:00.075,59.54
000:00:00.100,90.99
000:00:00.125,76.95
000:00:00.150,42.52
000:00:00.175,20.08
000:00:00.200,38.93
000:00:00.225,42.44
000:00:00.250,29.85
000:00:00.275, 4.12
000:00:00.300, 3.59
000:00:00.325,-1.91
000:00:00.350,-19.39
000:00:00.375,-33.13
000:00:00.400,-16.41
000:00:00.425,16.72
000:00:00.450,16.41
000:00:00.475, 8.32
000:00:00.500,-14.27
000:00:00.525,-13.82
000:00:00.550, 4.20
000:00:00.575,-5.19
000:00:00.600,-14.20
000:00:00.625, 8.70
000:00:00.650,-5.04
000:00:00.675,-37.40
000:00:00.700,-32.98
000:00:00.725, 6.79
000:00:00.750,25.88
000:00:00.775,17.10
000:00:00.800,-14.73
000:00:00.825,12.14
000:00:00.850,28.93
000:00:00.875,13.89
000:00:00.900, 3.51
000:00:00.925,23.44
000:00:00.950,14.81
000:00:00.975,-21.22
000:00:01.000,-11.83
000:00:01.025,-14.81
000:00:01.050,-2.37
000:00:01.075, 2.44
000:00:01.100, 2.37
000:00:01.125,-6.56
000:00:01.150,-21.30
000:00:01.175,-27.10
000:00:01.200,-20.84
000:00:01.225, 6.64
000:00:01.250, 2.90
000:00:01.275,-6.56
000:00:01.300, 6.64
000:00:01.325, 9.39
000:00:01.350,-8.02
000:00:01.375,-21.53
000:00:01.400,-18.70
000:00:01.425,17.10
000:00:01.450, 6.87
000:00:01.475,-12.60
000:00:01.500,61.76
000:00:01.525,177.71
000:00:01.550,198.09
000:00:01.575,135.04
000:00:01.600,73.05
000:00:01.625,30.99
000:00:01.650, 0.23
000:00:01.675,-17.56
000:00:01.700,-21.91
000:00:01.725,-11.68
000:00:01.750,-11.07
000:00:01.775,-29.85
000:00:01.800,-30.53
000:00:01.825,-4.66
000:00:01.850,-0.46
000:00:01.875,-27.48
000:00:01.900,-38.85
000:00:01.925,-31.98
000:00:01.950,-28.40
000:00:01.975,-30.76
000:00:02.000,-32.90
000:00:02.025,-31.91
000:00:02.050,-49.69
000:00:02.075,-58.32
000:00:02.100,-49.85
000:00:02.125,-20.38
000:00:02.150,-7.25
000:00:02.175,-26.79
000:00:02.200,-71.98
000:00:02.225,-64.81
000:00:02.250,-40.00
000:00:02.275,-26.56
000:00:02.300,-24.73
000:00:02.325,-35.88
000:00:02.350,-35.27
000:00:02.375,-26.26
000:00:02.400,-28.47
000:00:02.425,-30.46
000:00:02.450,-8.17
000:00:02.475,-10.46
000:00:02.500,-29.16
000:00:02.525,-21.37
000:00:02.550,17.86
000:00:02.575,26.18
000:00:02.600, 7.48
000:00:02.625, 6.11
000:00:02.650, 2.67
000:00:02.675,-4.50
000:00:02.700,-17.40
000:00:02.725,-16.49
000:00:02.750, 1.15
000:00:02.775,20.61
000:00:02.800,19.77
000:00:02.825, 1.68
000:00:02.850,-1.07
000:00:02.875,16.79
000:00:02.900,12.44
000:00:02.925, 8.70
000:00:02.950,13.89
000:00:02.975,24.12
000:00:03.000, 9.01
000:00:03.025, 3.51
000:00:03.050, 6.56
000:00:03.075,13.59
000:00:03.100, 3.36
000:00:03.125,-1.83
000:00:03.150, 9.01
000:00:03.175,-2.67
000:00:03.200,-6.18
000:00:03.225,-2.06
000:00:03.250,-15.80
000:00:03.275,-38.09
000:00:03.300,-27.33
000:00:03.325,-18.17
000:00:03.350,-23.82
000:00:03.375,-37.63
000:00:03.400,-38.85
000:00:03.425,-18.63
000:00:03.450,-1.30
000:00:03.475, 2.14
000:00:03.500, 0.00
000:00:03.525,49.31
000:00:03.550,109.24
000:00:03.575,89.39
000:00:03.600,65.34
000:00:03.625,61.83
000:00:03.650,107.56
000:00:03.675,171.45
000:00:03.700,161.22
000:00:03.725,100.08
000:00:03.750,51.45
000:00:03.775,30.46
000:00:03.800,13.44
000:00:03.825,-5.95
000:00:03.850,-22.44
000:00:03.875,-29.31
000:00:03.900,-13.36
000:00:03.925,-23.89
000:00:03.950,-43.44
000:00:03.975,-9.47
000:00:04.000, 3.13
000:00:04.025,-20.69
000:00:04.050,-17.71
000:00:04.075,-13.89
000:00:04.100,-20.99
000:00:04.125,-37.63
000:00:04.150,-7.02
000:00:04.175, 8.70
000:00:04.200,-12.44
000:00:04.225,-19.85
000:00:04.250, 1.98
000:00:04.275,16.34
000:00:04.300, 6.11
000:00:04.325,-22.75
000:00:04.350,-26.72
000:00:04.375,-18.24
000:00:04.400,-18.55
000:00:04.425,-25.11
000:00:04.450,-23.59
000:00:04.475,-8.32
000:00:04.500,-0.69
000:00:04.525,13.89
000:00:04.550,39.92
000:00:04.575,51.98
000:00:04.600,50.00
000:00:04.625,25.19
000:00:04.650,12.06
000:00:04.675,19.16
000:00:04.700,69.24
000:00:04.725,91.91
000:00:04.750,74.12
000:00:04.775,63.21
000:00:04.800,52.29
000:00:04.825,34.73
000:00:04.850,33.89
000:00:04.875,42.60
000:00:04.900,34.50
000:00:04.925,16.18
000:00:04.950, 0.31
000:00:04.975,14.27
000:00:05.000,17.10
000:00:05.025, 2.52
000:00:05.050, 2.21
000:00:05.075, 4.58
000:00:05.100,-6.95
000:00:05.125,-2.82
000:00:05.150, 0.46
000:00:05.175, 6.72
000:00:05.200, 3.05
000:00:05.225,-10.53
000:00:05.250,-11.83
000:00:05.275,-4.58
000:00:05.300,-13.05
000:00:05.325,-8.17
000:00:05.350,-15.04
000:00:05.375,-10.76
000:00:05.400,-23.74
000:00:05.425,-27.18
000:00:05.450,-19.85
000:00:05.475,-13.28
000:00:05.500,-15.27
000:00:05.525,-27.40
000:00:05.550,-32.37
000:00:05.575,-13.82
000:00:05.600,-10.00
000:00:05.625,-11.22
000:00:05.650,-14.96
000:00:05.675,-16.03
000:00:05.700,-17.33
000:00:05.725,-18.55
000:00:05.750,-22.67
000:00:05.775,-24.58
000:00:05.800,-24.89
000:00:05.825,-27.40
000:00:05.850,-31.98
000:00:05.875,-23.59
000:00:05.900,-29.24
000:00:05.925,-69.24
000:00:05.950,-99.92
000:00:05.975,-75.11
000:00:06.000,-58.78
000:00:06.025,-74.81
000:00:06.050,-84.89
000:00:06.075,-60.84
000:00:06.100,-34.58
000:00:06.125,-34.81
000:00:06.150,-42.52
000:00:06.175,-46.56
000:00:06.200,-27.56
000:00:06.225,32.14
000:00:06.250,70.76
000:00:06.275,41.15
000:00:06.300,19.62
000:00:06.325, 7.71
000:00:06.350, 6.49
000:00:06.375,23.44
000:00:06.400,61.45
000:00:06.425,121.37
000:00:06.450,155.11
000:00:06.475,111.68
000:00:06.500,74.58
000:00:06.525,51.91
000:00:06.550, 4.27
000:00:06.575,-10.38
000:00:06.600, 0.84
000:00:06.625,-10.08
000:00:06.650,-25.27
000:00:06.675,-29.85
000:00:06.700,-24.27
000:00:06.725,-13.66
000:00:06.750,-6.34
000:00:06.775,-14.50
000:00:06.800,-6.49
000:00:06.825,13.13
000:00:06.850, 4.81
000:00:06.875,-22.82
000:00:06.900,-24.50
000:00:06.925,-5.42
000:00:06.950,-2.44
000:00:06.975,-13.89
000:00:07.000,-5.65
000:00:07.025, 1.76
000:00:07.050, 3.21
000:00:07.075,-3.66
000:00:07.100,-5.34
000:00:07.125,-10.92
000:00:07.150,-16.34
000:00:07.175,-13.74
000:00:07.200,10.69
000:00:07.225,12.98
000:00:07.250,-9.47
000:00:07.275,-6.18
000:00:07.300,13.21
000:00:07.325,15.65
000:00:07.350, 5.88
000:00:07.375,-7.56
000:00:07.400, 2.98
000:00:07.425,13.66
000:00:07.450,12.44
000:00:07.475, 2.29
000:00:07.500,-3.74
000:00:07.525, 7.56
000:00:07.550,13.36
000:00:07.575, 7.02
000:00:07.600, 7.94
000:00:07.625, 9.85
000:00:07.650,13.28
000:00:07.675, 7.48
000:00:07.700,12.98
000:00:07.725,13.51
000:00:07.750,-6.11
000:00:07.775,-21.15
000:00:07.800, 2.44
000:00:07.825, 7.79
000:00:07.850,-5.88
000:00:07.875,-2.14
000:00:07.900, 0.46
000:00:07.925,-8.02
000:00:07.950,-14.43
000:00:07.975,-15.73
000:00:08.000,-2.21
000:00:08.025, 3.97
000:00:08.050,-8.55
000:00:08.075,-12.98
000:00:08.100,10.38
000:00:08.125,14.89
000:00:08.150,13.74
000:00:08.175, 2.44
000:00:08.200, 1.83
000:00:08.225, 7.94
000:00:08.250, 8.93
000:00:08.275, 8.93
000:00:08.300, 8.70
000:00:08.325, 5.42
000:00:08.350,25.11
000:00:08.375,78.09
000:00:08.400,141.45
000:00:08.425,126.64
000:00:08.450,74.89
000:00:08.475,27.86
000:00:08.500, 0.00
000:00:08.525,-16.64
000:00:08.550,-30.00
000:00:08.575,-34.35
000:00:08.600,-37.86
000:00:08.625,-31.22
000:00:08.650,-44.20
000:00:08.675,-49.85
000:00:08.700,-37.79
000:00:08.725,-20.08
000:00:08.750,-21.45
