TIME, 1-REF
000:00:00.000,0.0
000:00:00.025,0.0
000:00:00.050,0.0
000:00:00.075,0.0
000:00:00.100,0.0
000:00:00.125,0.0
000:00:00.150,0.0
000:00:00.175,0.0
000:00:00.200,0.0
000:00:00.225,0.0
000:00:00.250,0.0
000:00:00.275,0.0
000:00:00.300,0.0
000:00:00.325,0.0
000:00:00.350,0.0
000:00:00.375,0.0
000:00:00.400,34.81
000:00:00.425,41.98
000:00:00.450,42.06
000:00:00.475,32.37
000:00:00.500,13.97
000:00:00.525,7.86
000:00:00.550,9.39
000:00:00.575,8.63
000:00:00.600,6.03
000:00:00.625,16.87
000:00:00.650,23.59
000:00:00.675,11.07
000:00:00.700,2.14
000:00:00.725,2.82
000:00:00.750,16.72
000:00:00.775,22.14
000:00:00.800,17.1
000:00:00.825,0.31
000:00:00.850,-1.15
000:00:00.875,8.09
000:00:00.900,20.76
000:00:00.925,29.47
000:00:00.950,23.44
000:00:00.975,11.6
000:00:01.000,14.81
000:00:01.025,45.27
000:00:01.050,0.0
000:00:01.075,0.0
000:00:01.100,0.0
000:00:01.125,-24.81
000:00:01.150,-40.38
000:00:01.175,-44.05
000:00:01.200,-43.51
000:00:01.225,-28.93
000:00:01.250,-11.76
000:00:01.275,-16.95
000:00:01.300,-31.15
000:00:01.325,-40.92
000:00:01.350,-23.44
000:00:01.375,-18.32
000:00:01.400,-27.71
000:00:01.425,-26.11
000:00:01.450,-21.6
000:00:01.475,-19.54
000:00:01.500,-21.3
000:00:01.525,3.82
000:00:01.550,0.0
000:00:01.575,0.0
000:00:01.600,0.0
000:00:01.625,-43.89
000:00:01.650,0.0
000:00:01.675,0.0
000:00:01.700,0.0
000:00:01.725,0.0
000:00:01.750,0.0
000:00:01.775,0.0
000:00:01.800,0.0
000:00:01.825,0.0
000:00:01.850,-25.19
000:00:01.875,-28.85
000:00:01.900,-38.17
000:00:01.925,-47.18
000:00:01.950,0.0
000:00:01.975,0.0
000:00:02.000,-45.04
000:00:02.025,-34.58
000:00:02.050,11.6
000:00:02.075,-8.32
000:00:02.100,-29.92
000:00:02.125,-28.17
000:00:02.150,-13.36
000:00:02.175,-4.58
000:00:02.200,-10.23
000:00:02.225,-19.69
000:00:02.250,-23.97
000:00:02.275,-16.34
000:00:02.300,35.5
000:00:02.325,0.0
000:00:02.350,0.0
000:00:02.375,0.0
000:00:02.400,8.24
000:00:02.425,-20.31
000:00:02.450,-30.99
000:00:02.475,5.5
000:00:02.500,19.39
000:00:02.525,-21.91
000:00:02.550,-48.63
000:00:02.575,-23.44
000:00:02.600,-38.32
000:00:02.625,0.0
000:00:02.650,0.0
000:00:02.675,0.0
000:00:02.700,-16.49
000:00:02.725,-44.12
000:00:02.750,0.0
000:00:02.775,0.0
000:00:02.800,-33.13
000:00:02.825,-43.36
000:00:02.850,-40.38
000:00:02.875,-31.37
000:00:02.900,-46.03
000:00:02.925,0.0
000:00:02.950,0.0
000:00:02.975,-12.21
000:00:03.000,-32.6
000:00:03.025,0.0
000:00:03.050,0.0
000:00:03.075,0.0
000:00:03.100,0.0
000:00:03.125,0.0
000:00:03.150,0.0
000:00:03.175,0.0
000:00:03.200,-24.96
000:00:03.225,-42.67
000:00:03.250,-34.96
000:00:03.275,-4.66
000:00:03.300,1.98
000:00:03.325,1.68
000:00:03.350,-14.96
000:00:03.375,-19.77
000:00:03.400,-13.51
000:00:03.425,-15.65
000:00:03.450,1.98
000:00:03.475,17.1
000:00:03.500,3.66
000:00:03.525,-9.62
000:00:03.550,-7.4
000:00:03.575,-1.07
000:00:03.600,6.34
000:00:03.625,10.15
000:00:03.650,6.79
000:00:03.675,0.0
000:00:03.700,0.0
000:00:03.725,0.0
000:00:03.750,0.0
000:00:03.775,0.0
000:00:03.800,0.0
000:00:03.825,0.0
000:00:03.850,0.0
000:00:03.875,-22.9
000:00:03.900,-27.79
000:00:03.925,-27.94
000:00:03.950,-10.99
000:00:03.975,3.97
000:00:04.000,1.15
000:00:04.025,-14.43
000:00:04.050,-8.7
000:00:04.075,16.95
000:00:04.100,12.06
000:00:04.125,-20.23
000:00:04.150,0.0
000:00:04.175,0.0
000:00:04.200,0.0
000:00:04.225,0.0
000:00:04.250,-47.71
